date,min,max
2015-07-19,-12.516,9.042
2015-07-20,-11.381,8.747
2015-07-21,-9.652,8.143
2015-07-22,-7.736,7.628
2015-07-23,-6.578,6.837
2015-07-24,-6.65,6.404
2015-07-25,-6.808,6.391
2015-07-26,-7.484,6.407
2015-07-27,-9.108,6.893
2015-07-28,-10.968,7.861
2015-07-29,-12.844,8.973
2015-07-30,-14.281,10.262
2015-07-31,-15.085,11.401
2015-08-01,-15.459,12.083
2015-08-02,-15.371,12.349
2015-08-03,-14.774,12.064
2015-08-04,-13.438,11.85
2015-08-05,-11.48,10.86
2015-08-06,-10.761,9.665
2015-08-07,-10.082,8.655
2015-08-08,-9.501,7.913
2015-08-09,-9.537,7.907
2015-08-10,-10.197,8.317
2015-08-11,-11.45,8.35
2015-08-12,-12.566,8.99
2015-08-13,-13.136,9.551
2015-08-14,-13.189,10.023
2015-08-15,-12.91,10.138
2015-08-16,-12.526,9.885
2015-08-17,-11.673,9.751
2015-08-18,-10.686,9.055
2015-08-19,-9.839,8.356
2015-08-20,-9.154,7.615
2015-08-21,-8.117,6.903
2015-08-22,-7.238,6.089
2015-08-23,-7.247,5.512
2015-08-24,-7.881,5.367
2015-08-25,-9.298,5.505
2015-08-26,-10.584,7.405
2015-08-27,-12.677,8.602
2015-08-28,-14.209,10.151
2015-08-29,-14.446,11.88
2015-08-30,-15.069,12.582
2015-08-31,-15.108,13.061
2015-09-01,-14.341,12.707
2015-09-02,-13.93,12.09
2015-09-03,-13.225,10.781
2015-09-04,-11.663,9.341
2015-09-05,-10.187,7.369
2015-09-06,-9.15,6.378
2015-09-07,-8.661,6.273
2015-09-08,-9.019,6.709
2015-09-09,-9.879,7.936
2015-09-10,-10.098,9.137
2015-09-11,-11.214,9.587
2015-09-12,-11.585,9.846
2015-09-13,-11.936,9.849
2015-09-14,-11.168,10.381
2015-09-15,-10.669,10.295
2015-09-16,-10.909,10.161
2015-09-17,-10.262,9.557
2015-09-18,-9.505,8.501
2015-09-19,-8.917,7.06
2015-09-20,-8.415,6.03
2015-09-21,-7.812,5.072
2015-09-22,-7.884,4.915
2015-09-23,-8.737,5.942
2015-09-24,-9.872,7.661
2015-09-25,-11.345,9.757
2015-09-26,-12.864,11.283
2015-09-27,-13.445,12.89
2015-09-28,-13.99,14.117
2015-09-29,-14.672,14.222
2015-09-30,-14.751,13.1
2015-10-01,-15.105,11.752
2015-10-02,-14.193,9.862
2015-10-03,-12.52,8.189
2015-10-04,-10.748,6.293
2015-10-05,-9.085,5.732
2015-10-06,-7.861,5.912
2015-10-07,-7.913,6.49
2015-10-08,-7.743,7.756
2015-10-09,-8.202,9.177
2015-10-10,-8.816,10.131
2015-10-11,-9.846,10.476
2015-10-12,-10.594,11.152
2015-10-13,-11.552,10.627
2015-10-14,-12.303,10.0
2015-10-15,-12.274,10.171
2015-10-16,-11.352,10.052
2015-10-17,-10.341,9.505
2015-10-18,-9.885,8.153
2015-10-19,-9.045,6.864
2015-10-20,-8.1,6.138
2015-10-21,-6.913,6.867
2015-10-22,-7.503,7.238
2015-10-23,-8.822,8.474
2015-10-24,-10.174,10.463
2015-10-25,-12.861,11.437
2015-10-26,-14.544,12.877
2015-10-27,-14.79,13.789
2015-10-28,-14.856,14.295
2015-10-29,-14.672,13.793
2015-10-30,-14.19,12.06
2015-10-31,-13.78,10.121
2015-11-01,-12.625,8.632
2015-11-02,-10.699,7.254
2015-11-03,-9.252,6.076
2015-11-04,-7.352,6.519
2015-11-05,-6.145,6.811
2015-11-06,-6.857,7.92
2015-11-07,-9.239,7.969
2015-11-08,-9.885,8.678
2015-11-09,-10.853,9.587
2015-11-10,-12.11,10.003
2015-11-11,-13.097,9.885
2015-11-12,-12.421,11.201
2015-11-13,-12.822,10.512
2015-11-14,-12.923,9.961
2015-11-15,-12.52,9.108
2015-11-16,-12.08,8.133
2015-11-17,-11.391,7.451
2015-11-18,-10.65,6.683
2015-11-19,-9.537,6.775
2015-11-20,-8.192,8.205
2015-11-21,-10.64,8.084
2015-11-22,-12.575,9.229
2015-11-23,-13.711,10.243
2015-11-24,-14.8,11.798
2015-11-25,-15.502,12.543
2015-11-26,-15.584,12.858
2015-11-27,-14.865,12.93
2015-11-28,-14.639,11.65
2015-11-29,-14.006,10.466
2015-11-30,-12.625,9.511
2015-12-01,-10.801,8.934
2015-12-02,-8.445,7.992
2015-12-03,-6.644,7.539
2015-12-04,-5.299,7.359
2015-12-05,-6.594,7.018
2015-12-06,-7.802,7.91
2015-12-07,-9.124,8.268
2015-12-08,-9.902,9.829
2015-12-09,-11.001,10.722
2015-12-10,-12.356,10.791
2015-12-11,-12.808,10.856
2015-12-12,-13.478,11.263
2015-12-13,-13.465,10.817
2015-12-14,-13.573,10.4
2015-12-15,-13.084,9.701
2015-12-16,-12.579,8.924
2015-12-17,-10.607,9.603
2015-12-18,-8.914,9.721
2015-12-19,-7.215,9.8
2015-12-20,-8.543,10.138
2015-12-21,-10.443,10.627
2015-12-22,-12.726,10.997
2015-12-23,-14.544,11.22
2015-12-24,-15.469,11.352
2015-12-25,-14.872,12.044
2015-12-26,-14.646,12.221
2015-12-27,-14.656,11.552
2015-12-28,-13.717,11.106
2015-12-29,-12.372,10.531
2015-12-30,-10.322,11.066
2015-12-31,-9.557,9.813
2016-01-01,-7.139,8.045
2016-01-02,-4.301,8.593
2016-01-03,-6.004,7.287
2016-01-04,-6.201,7.316
2016-01-05,-8.766,7.625
2016-01-06,-10.39,7.726
2016-01-07,-11.87,8.586
2016-01-08,-12.749,9.754
2016-01-09,-13.583,11.309
2016-01-10,-13.36,11.444
2016-01-11,-13.301,12.113
2016-01-12,-13.638,11.847
2016-01-13,-13.317,11.617
2016-01-14,-12.792,11.001
2016-01-15,-11.66,10.427
2016-01-16,-9.505,10.312
2016-01-17,-8.045,9.688
2016-01-18,-8.593,9.783
2016-01-19,-10.095,9.35
2016-01-20,-11.358,9.82
2016-01-21,-11.814,11.401
2016-01-22,-12.923,11.923
2016-01-23,-13.343,12.103
2016-01-24,-13.182,11.972
2016-01-25,-12.874,12.339
2016-01-26,-12.329,11.818
2016-01-27,-11.893,11.224
2016-01-28,-9.678,11.594
2016-01-29,-8.73,10.039
2016-01-30,-7.861,8.451
2016-01-31,-6.608,6.827
2016-02-01,-6.677,6.096
2016-02-02,-6.801,5.548
2016-02-03,-7.024,6.309
2016-02-04,-8.077,7.956
2016-02-05,-10.558,9.055
2016-02-06,-12.707,9.718
2016-02-07,-13.606,11.178
2016-02-08,-14.715,12.054
2016-02-09,-15.197,11.804
2016-02-10,-15.246,12.313
2016-02-11,-14.39,12.585
2016-02-12,-13.153,12.638
2016-02-13,-11.119,11.995
2016-02-14,-9.76,10.6
2016-02-15,-9.429,9.075
2016-02-16,-9.301,7.697
2016-02-17,-9.577,7.484
2016-02-18,-10.499,8.205
2016-02-19,-11.522,8.924
2016-02-20,-11.657,9.846
2016-02-21,-11.772,11.923
2016-02-22,-12.949,10.682
2016-02-23,-11.88,10.938
